,ID,Product,Region,Profession,Age,First Rate Paid,Contract sum,Closing Date,Age Group
0,1,Life,150,Employee,26,TRUE,1000,01-07-1990,AG-3
1,2,Life,150,Farmer,31,FALSE,2000,01-07-1990,AG-4
2,3,Life,150,Farmer,33,TRUE,2000,01-07-1990,AG-4
3,4,Life,150,Farmer,33,TRUE,2000,01-07-1990,AG-4
4,5,Life,120,Self-employed,34,TRUE,2000,01-07-1990,AG-4
5,6,Household,150,Farmer,36,TRUE,4000,01-07-1990,AG-4
6,7,Life,150,Farmer,36,TRUE,4000,01-07-1990,AG-4
7,8,Life,150,Employee,36,TRUE,5000,01-07-1990,AG-4
8,9,Life,150,Farmer,37,TRUE,5000,01-07-1990,AG-4
9,10,Household,150,Employee,40,TRUE,5000,01-07-1990,AG-5
10,11,Car,150,Farmer,41,TRUE,5000,01-07-1990,AG-5
11,12,Life,160,Farmer,41,FALSE,5000,01-07-1990,AG-5
12,13,Life,150,Student,42,FALSE,5000,01-07-1990,AG-5
13,14,Life,150,Employee,42,FALSE,5000,01-07-1990,AG-5
14,15,Car,160,Farmer,43,TRUE,5000,01-07-1990,AG-5
15,16,Household,150,Employee,44,TRUE,5000,01-07-1990,AG-5
16,17,Car,150,Farmer,47,TRUE,5000,01-07-1990,AG-5
17,18,Life,150,Farmer,47,FALSE,5000,01-07-1990,AG-5
18,19,Life,150,Employee,49,FALSE,5000,01-07-1990,AG-5
19,20,Health,160,Executive emplyee,49,FALSE,5000,01-07-1990,AG-5
20,21,Life,150,Employee,53,FALSE,5000,01-07-1990,AG-6
22,23,Life,150,Farmer,56,TRUE,5000,01-07-1990,AG-6
23,24,Life,150,Employee,56,TRUE,5000,01-07-1990,AG-6
24,25,Car,150,Employee,57,TRUE,5000,01-07-1990,AG-6
25,26,Life,150,Executive emplyee,57,FALSE,5000,01-07-1990,AG-6
26,27,Life,150,Employee,61,FALSE,5000,01-07-1990,AG-7
27,28,Car,150,Employee,64,TRUE,5000,01-07-1990,AG-7
28,29,Car,150,Student,14,FALSE,5000,01-08-1990,AG-1
29,30,Health,150,Student,21,TRUE,5000,01-08-1990,AG-2
30,31,Life,150,Student,26,FALSE,5000,01-08-1990,AG-3
32,33,Life,160,Employee,28,TRUE,5000,01-08-1990,AG-3
33,34,Health,150,Farmer,28,TRUE,5000,01-08-1990,AG-3
34,35,Household,150,Employee,28,TRUE,5000,01-08-1990,AG-3
35,36,Life,150,Farmer,28,FALSE,5000,01-08-1990,AG-3
36,37,Life,160,Student,28,FALSE,5000,01-08-1990,AG-3
37,38,Health,160,Farmer,29,TRUE,5000,01-08-1990,AG-3
38,39,Household,150,Farmer,29,TRUE,5000,01-08-1990,AG-3
39,40,Car,150,Farmer,29,TRUE,5000,01-08-1990,AG-3
40,41,Life,160,Employee,29,FALSE,5000,01-08-1990,AG-3
41,42,Car,160,Farmer,32,TRUE,5000,01-08-1990,AG-4
42,43,Car,150,Student,32,TRUE,5000,01-08-1990,AG-4
43,44,Life,150,Student,32,TRUE,5000,01-08-1990,AG-4
44,45,Car,150,Employee,32,TRUE,5000,01-08-1990,AG-4
45,46,Health,150,Employee,32,FALSE,5000,01-08-1990,AG-4
46,47,Car,150,Farmer,33,TRUE,5000,01-08-1990,AG-4
47,48,Life,150,Employee,33,TRUE,5000,01-08-1990,AG-4
48,49,Life,160,Farmer,33,FALSE,5000,01-08-1990,AG-4
49,50,Car,999,Employee,33,FALSE,5000,01-08-1990,AG-4
50,51,Life,160,Employee,34,TRUE,5000,01-08-1990,AG-4
51,52,Life,150,Employee,35,TRUE,5000,01-08-1990,AG-4
52,53,Life,150,Employee,35,TRUE,5000,01-08-1990,AG-4
53,54,Life,150,Employee,35,TRUE,5000,01-08-1990,AG-4
54,55,Life,150,Executive emplyee,35,FALSE,5000,01-08-1990,AG-4
55,56,Life,150,Employee,35,TRUE,5000,01-08-1990,AG-4
56,57,Life,150,Farmer,35,TRUE,5000,01-08-1990,AG-4
57,58,Life,150,Farmer,36,FALSE,5000,01-08-1990,AG-4
58,59,Life,150,Farmer,36,TRUE,5000,01-08-1990,AG-4
59,60,Life,150,Farmer,36,TRUE,5000,01-08-1990,AG-4
60,61,Car,150,Student,37,FALSE,5000,01-08-1990,AG-4
61,62,Health,150,Employee,37,TRUE,5000,01-08-1990,AG-4
62,63,Car,150,Farmer,37,FALSE,5000,01-08-1990,AG-4
63,64,Life,150,Employee,37,TRUE,5000,01-08-1990,AG-4
64,65,Household,150,Employee,38,TRUE,5000,01-08-1990,AG-4
65,66,Life,150,Pupil,38,TRUE,5000,01-08-1990,AG-4
66,67,Life,150,Farmer,38,FALSE,5000,01-08-1990,AG-4
67,68,Car,150,Farmer,38,TRUE,5000,01-08-1990,AG-4
68,69,Life,150,Employee,38,FALSE,5000,01-08-1990,AG-4
69,70,Life,150,Employee,38,TRUE,5000,01-08-1990,AG-4
70,71,Life,160,Executive emplyee,38,FALSE,5000,01-08-1990,AG-4
71,72,Car,150,Farmer,38,TRUE,5000,01-08-1990,AG-4
72,73,Car,150,Employee,38,FALSE,5000,01-08-1990,AG-4
73,74,Health,150,Farmer,38,FALSE,5000,01-08-1990,AG-4
74,75,Health,150,Employee,39,FALSE,5000,01-08-1990,AG-4
75,76,Car,150,Farmer,39,TRUE,5000,01-08-1990,AG-4
76,77,Life,150,Farmer,39,TRUE,5000,01-08-1990,AG-4
77,78,Life,150,Farmer,39,TRUE,5000,01-08-1990,AG-4
78,79,Car,150,Farmer,39,TRUE,5000,01-08-1990,AG-4
79,80,Life,160,Employee,39,TRUE,5000,01-08-1990,AG-4
80,81,Life,150,Farmer,39,TRUE,5000,01-08-1990,AG-4
81,82,Health,150,Farmer,39,TRUE,5000,01-08-1990,AG-4
82,83,Car,150,Employee,39,TRUE,5000,01-08-1990,AG-4
83,84,Household,150,Farmer,40,TRUE,5000,01-08-1990,AG-5
84,85,Life,160,Farmer,40,TRUE,5000,01-08-1990,AG-5
85,86,Car,150,Farmer,40,TRUE,5000,01-08-1990,AG-5
86,87,Life,150,Farmer,40,TRUE,5000,01-08-1990,AG-5
87,88,Health,160,Employee,41,TRUE,5000,01-08-1990,AG-5
88,89,Car,160,Farmer,41,TRUE,5000,01-08-1990,AG-5
89,90,Life,150,Employee,41,FALSE,5000,01-08-1990,AG-5
90,91,Life,150,Employee,41,FALSE,5000,01-08-1990,AG-5
91,92,Life,150,Farmer,42,TRUE,5000,01-08-1990,AG-5
92,93,Household,150,Farmer,42,TRUE,5000,01-08-1990,AG-5
93,94,Life,150,Farmer,42,TRUE,5000,01-08-1990,AG-5
94,95,Health,150,Farmer,42,FALSE,5000,01-08-1990,AG-5
95,96,Life,150,Employee,42,FALSE,5000,01-08-1990,AG-5
96,97,Health,150,Employee,42,TRUE,5000,01-08-1990,AG-5
97,98,Health,150,Employee,42,TRUE,5000,01-08-1990,AG-5
